link,location,beds,baths,rent,phone
https://www.kijiji.ca/v-apartments-condos/calgary/2-bedroom-230-huntington-close-ne/1475424401,"230 Huntington Close NE, Calgary, AB, T2K 5X9",1 Year,"December 31, 2019","$1,299.00",
https://www.kijiji.ca/v-apartments-condos/calgary/limited-time-500-in-savings-laundry-in-suite-modern-nw-homes/1348327306,"3600 Brenner Drive Northwest #108, Calgary, AB, T2L 1Y2",2,1,"$1,399.00",
https://www.kijiji.ca/v-apartments-condos/calgary/1-bedroom-chinook-centre-pet-friendly/1457645679,"606 58 Ave SW, Calgary, AB, T2V 0H7",1 Year,Yes,"$1,000.00",
https://www.kijiji.ca/v-apartments-condos/calgary/pet-friendly-two-bedroom-two-bath-den-with-in-suite-laundry/1478361642?imageNumber=10,"216 Skyview Ranch Rd NE, Calgary, AB, T3N 0T2",2 + Den,2,"$1,281.00",
https://www.kijiji.ca/v-apartments-condos/calgary/september-2020-furnished-rooms-near-ucalgary/1473548346,"2166 16th Avenue NW, Calgary, AB, T2M 0X0",1 Year,Yes,Please Contact,
https://www.kijiji.ca/v-apartments-condos/calgary/pet-friendly-three-bedroom-two-bath-with-in-suite-laundry-for/1478361643?imageNumber=10,"216 Skyview Ranch Rd NE, Calgary, AB, T3N 0T2",Month-to-month,"February 1, 2020","$1,327.00",
https://www.kijiji.ca/v-apartments-condos/calgary/fully-furnished-condo-downtown-incl-utilities-and-parking/1478387510,"921 17 Ave SW, Calgary, AB T2T 0A4, Canada",1 Year,"December 19, 2019","$2,250.00",
https://www.kijiji.ca/v-apartments-condos/calgary/glenmore-heights-one-bedroom-apartment-for-rent/1474326796,"620 67th Avenue SW, Calgary, AB, T2V 0M2",1 Year,Yes,"$1,125.00",
https://www.kijiji.ca/v-apartments-condos/calgary/glenmore-heights-two-bedroom-apartment-for-rent/1465230538,"620 67th Avenue SW, Calgary, AB, T2V 0M2",1 Year,Yes,"$1,325.00",
https://www.kijiji.ca/v-apartments-condos/calgary/one-bedroom-affordable-suite-at-kaleidoscope-for-rent-2505/1478362111?imageNumber=3,"2505 24th Street NW, Calgary, AB, T2M 4X6",1 Year,Yes,$945.00,
https://www.kijiji.ca/v-apartments-condos/calgary/sw-2-bd-apt-main-floor/1478361983,"1113 39 St SW, Calgary, AB T3C 1V3, Canada",2,1,"$1,390.00",
https://www.kijiji.ca/v-apartments-condos/calgary/condo-style-apartment-in-windsor-park/1478380927,"605 57 AVE SW, T2V0H5, Calgary, AB",1,1,$975.00,
https://www.kijiji.ca/v-apartments-condos/calgary/union-square-lg-2br-condo-great-downtown-loc-pet-friendly/1478379836,"Calgary, AB T2R 0V6, Canada",2,2,"$2,050.00",
https://www.kijiji.ca/v-apartments-condos/calgary/caretaker-plus-opportunity/1478335269,"1224 Cameron Ave SW, Calgary, AB T2T 0K7, Canada",1 Year,"December 18, 2019",$635.00,
https://www.kijiji.ca/v-apartments-condos/calgary/pet-friendly-airdrie-2-bedroom-for-rent-near-kingsview-market/1440471711,"20 Kingsland Close SE, Airdrie, AB, T4A 0T4",1 Year,"December 18, 2019","$1,295.00",
https://www.kijiji.ca/v-apartments-condos/calgary/two-bedroom-penthouse-suites-the-international-for-rent-220/1464763917?imageNumber=19,"220 4 Ave SW, Calgary, AB, T2P 0H5",2,2,"$3,439.00",
https://www.kijiji.ca/v-apartments-condos/calgary/two-bedroom-suites-the-international-for-rent-220-4-ave-sw/1464763928?imageNumber=19,"220 4 Ave SW, Calgary, AB, T2P 0H5",2,1,"$2,069.00",
https://www.kijiji.ca/v-apartments-condos/calgary/one-bedroom-penthouse-suites-the-international-for-rent-220/1464763945?imageNumber=19,"220 4 Ave SW, Calgary, AB, T2P 0H5",1 Year,Yes,"$3,179.00",
